Nome,Sobrenome,Data de Nascimento,Idade,Gênero,Curso,Tipo de Logradouro,Logradouro,Número,Cidade,RA,Nota Final,Valor Mensalidade
Fernanda,Carvalho,22/12/1998,25,Feminino,Secretariado,Viela,Quadra Liam Vieira,38,São Paulo,04229723,8,2900
Luciana,Macedo,27/08/1966,57,Feminino,Relações Internacionais,Viela,Loteamento Pinto,899,São José dos Campos,59432379,4,2300
Gabriel,Pastor,29/04/1982,42,Masculino,Ciências Contábeis,Estrada,Estação de Barbosa,3,Santo André,32953602,0,3500
Daniel,Azevedo,24/08/1996,27,Masculino,Ciências Contábeis,Rua,Chácara José Brito,118,Sorocaba,45531882,1,2200
Beatriz,Souza,16/08/2003,20,Feminino,Relações Públicas,Rua,Via de da Rocha,859,Osasco,29762902,2,2000
Patrícia,Cunha,06/09/1969,54,Feminino,Secretariado,Avenida,Quadra Danilo Rios,44,Mauá,24779679,2,2700
Beatriz,Rios,31/12/1975,48,Feminino,Ciência da Computação,Viela,Passarela Heloisa Rocha,38,Ribeirão Preto,88900989,2,4000
Patrícia,Campos,28/09/2004,19,Feminino,Administração,Rua,Viaduto Thales da Mota,66,São José dos Campos,64179785,10,2900
Camila,da Paz,04/01/1975,49,Feminino,Ciências Econômicas,Estrada,Setor Allana Vasconcelos,7,São Bernardo do Campo,45043901,3,3700
Juliana,Lima,29/11/1995,28,Feminino,Administração,Estrada,Avenida Guerra,90,Mauá,65205742,8,2700
Ana,Siqueira,09/03/1970,54,Feminino,Administração,Alameda,Vale de Mendes,92,Guarulhos,16673889,0,3100
Juliana,Vieira,17/08/1972,51,Feminino,Análise e Desenvolvimento de Sistemas,Avenida,Avenida Nicolas Rodrigues,83,Osasco,57988734,2,4000
Carlos,Casa Grande,04/09/1989,34,Masculino,Relações Internacionais,Rua,Trevo de Cirino,41,Campinas,75599347,5,2000
Ana,Campos,06/11/1976,47,Feminino,Análise e Desenvolvimento de Sistemas,Rua,Vereda Montenegro,57,Osasco,78352067,3,2200
Claudia,Correia,02/02/2006,18,Feminino,Ciências Econômicas,Estrada,Área Dias,87,São Bernardo do Campo,30578652,0,4000
Vanessa,Freitas,24/11/1994,29,Feminino,Secretariado,Alameda,Aeroporto Vasconcelos,163,Guarulhos,29362451,0,2400
Luciana,Sales,01/07/1979,45,Feminino,Administração,Viela,Estação Bella Barros,898,São Bernardo do Campo,39317915,6,3700
Patrícia,Sampaio,19/07/1974,50,Feminino,Secretariado,Viela,Colônia de Pinto,518,Osasco,67871262,8,3400
Maria,Farias,16/05/1989,35,Feminino,Administração,Alameda,Área Isabelly Marques,866,Ribeirão Preto,58726820,8,2300
Pedro,Pereira,13/01/1999,25,Masculino,Relações Públicas,Estrada,Chácara Otávio Rios,33,Campinas,31840998,3,2500
